Crop_Name,Category_Name,Season_name,Government_name,Region_name,Agriculture Water Usage_m3,Land size,production,Pro./Acre,Water/Acre,Immersion,Sprinkler,Drip,Canal ,Aswan 
Rice,cereal,Summer,Cairo,lower Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Alexandria,lower Egypt,4552000,860,3121,3.629069767,5293.023256,4552000,NO,NO,6465108.359,6958359.133
Rice,cereal,Summer,Port said,lower Egypt,117485000,18195,54694,3.005990657,6456.99368,117485000,NO,NO,130052876.2,137692173.6
Rice,cereal,Summer,Suez,lower Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Damietta,lower Egypt,269677000,47059,162307,3.449010816,5730.61476,269677000,NO,NO,317616435.2,330767961.7
Rice,cereal,Summer,Dakahlia,lower Egypt,1310861000,228275,832509,3.646956522,5742.464133,1310861000,NO,NO,1543887680,1607815353
Rice,cereal,Summer,Sharkia,lower Egypt,975672000,187054,632597,3.381895068,5215.991104,975672000,NO,NO,1650520156,1767841455
Rice,cereal,Summer,Quliubiya,lower Egypt,12475000,1932,5945,3.077122153,6457.039337,12475000,NO,NO,17829792.42,18027951.26
Rice,cereal,Summer,Kafr el sheikh,lower Egypt,1195849000,190460,760126,3.991000735,6278.740943,1195849000,NO,NO,1537920039,1609581402
Rice,cereal,Summer,Gharbia,lower Egypt,387853000,60067,222849,3.710007159,6457.006343,387853000,NO,NO,626772726.1,651547477.2
Rice,cereal,Summer,Monoufia,lower Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Behaira,lower Egypt,751795000,116431,419967,3.60700329,6457.000283,751795000,NO,NO,1056180293,1095298081
Rice,cereal,Summer,Ismailia,lower Egypt,29896000,4710,16048,3.407218684,6347.346072,29896000,NO,NO,37139095.93,43555798.37
Rice,cereal,Summer,Giza,Middle Egupt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Beni sweif,Middle Egupt,1396000,207,768,3.710144928,6743.961353,1396000,NO,NO,1475018.868,1541160.587
Rice,cereal,Summer,Fayoum,Middle Egupt,3230000,479,1505,3.141962422,6743.215031,3230000,NO,NO,4579484.536,4763505.155
Rice,cereal,Summer,Minya,Middle Egupt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Assuit,Upper Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Sohag,Upper Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Qena,Upper Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Aswan,Upper Egypt,0,0,0,0,0,0,0,0,0,0
Rice,cereal,Summer,Luxor,Upper Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Cairo,lower Egypt,586000,161,2430,15.0931677,3639.751553,586000,468717.1146,413826.7101,621736.3934,683794.7541
Others,Other items,Winter,Alexandria,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Port said,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Suez,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Damietta,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Dakahlia,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Sharkia,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Quliubiya,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Kafr el sheikh,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Gharbia,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Monoufia,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Behaira,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Ismailia,lower Egypt,0,0,0,0,0,0,0,0,0,0
Others,Other items,Winter,Giza,Middle Egupt,10900000,2919.648652,44202.08124,15.13952071,3733.325924,10900000,8721182.533,7697459.283,11333085.78,11859264.76
